Time,Temperature,Humidity,Pressure,Light,Noise
2020-07-30 18:46:41,81.4,31.4,1005.7,99.7,47.8
2020-07-30 18:46:42,81.1,31.4,1005.7,99.7,39.3
2020-07-30 18:46:43,80.9,31.4,1005.7,99.0,64.7
2020-07-30 18:46:44,81.4,31.4,1005.7,99.0,55.5
2020-07-30 18:46:45,80.9,31.3,1005.7,99.6,56.4
2020-07-30 18:46:46,81.4,31.4,1005.7,99.7,55.7
2020-07-30 18:46:47,82.1,31.4,1005.7,99.7,48.8
2020-07-30 18:46:48,82.3,31.3,1005.7,99.0,57.1
2020-07-30 18:46:49,82.3,31.3,1005.7,99.7,73.9
2020-07-30 18:46:50,82.2,31.3,1005.7,99.7,57.6
2020-07-30 18:46:51,82.0,31.3,1005.7,99.6,49.1
2020-07-30 18:46:52,81.6,31.3,1005.7,99.6,45.6
2020-07-30 18:46:53,81.4,31.2,1005.7,99.6,102.3
2020-07-30 18:46:54,81.3,31.3,1005.7,99.7,56.1
2020-07-30 18:46:55,81.5,31.4,1005.7,99.7,43.5
2020-07-30 18:46:56,81.7,31.4,1005.7,99.6,42.9
2020-07-30 18:46:58,82.1,31.3,1005.7,99.6,59.4
2020-07-30 18:46:59,82.3,31.2,1005.7,99.6,59.0
