Time,Humidity,kOhms,IAQ
2020-08-24 03:54:31,44.5,218.1,98.1
2020-08-24 04:04:33,44.6,231.0,98.1
2020-08-24 04:19:37,44.5,233.0,98.1
2020-08-24 04:34:42,43.9,237.3,98.4
2020-08-24 04:49:46,43.1,241.9,98.7
2020-08-24 05:04:50,43.0,240.9,98.7
2020-08-24 05:19:54,43.0,244.6,98.7
2020-08-24 05:34:59,43.0,236.4,98.8
2020-08-24 05:50:03,42.9,238.4,98.8
2020-08-24 06:05:07,42.7,240.7,98.9
2020-08-24 06:20:11,42.8,241.0,98.9
2020-08-24 06:35:16,42.9,241.0,98.8
2020-08-24 06:50:20,43.0,242.5,98.8
2020-08-24 07:05:24,42.8,228.8,98.9
2020-08-24 07:20:29,44.5,214.7,97.8
2020-08-24 07:35:33,45.8,208.3,95.0
2020-08-24 07:50:37,46.3,213.6,96.6
2020-08-24 08:05:41,45.8,219.4,97.6
2020-08-24 08:20:46,45.7,222.0,97.6
2020-08-24 08:35:50,45.7,216.6,97.6
2020-08-24 08:50:54,45.6,218.5,97.6
2020-08-24 09:05:58,45.5,220.6,97.7
2020-08-24 09:21:03,45.2,221.5,97.8
2020-08-24 09:36:07,45.7,221.3,97.6
2020-08-24 09:51:11,45.7,220.7,97.6
2020-08-24 10:06:15,45.5,222.5,97.7
2020-08-24 10:21:20,45.8,221.7,97.6
2020-08-24 10:36:24,45.8,222.2,97.6
2020-08-24 10:51:28,45.8,222.4,97.6
2020-08-24 11:06:32,45.8,222.7,97.6
2020-08-24 11:21:37,46.1,221.3,97.5
2020-08-24 11:36:41,46.1,222.1,97.4
2020-08-24 11:51:45,46.3,221.5,97.4
2020-08-24 12:06:49,46.4,219.9,97.3
2020-08-24 12:21:54,46.4,219.9,97.3
2020-08-24 12:36:58,46.7,218.2,97.2
2020-08-24 12:52:02,46.8,213.3,96.3
2020-08-24 13:07:06,47.0,207.4,94.2
2020-08-24 13:22:11,47.3,205.1,93.3
2020-08-24 13:37:15,47.3,200.5,91.6
2020-08-24 13:52:19,47.1,198.7,91.1
2020-08-24 14:07:23,47.8,192.6,88.7
2020-08-24 14:22:28,47.7,190.6,88.0
2020-08-24 14:37:32,47.6,188.6,87.4
2020-08-24 14:52:36,47.5,167.5,80.1
2020-08-24 15:07:40,47.2,175.3,82.9
2020-08-24 15:22:45,47.2,177.1,83.6
2020-08-24 15:37:49,47.0,180.3,84.7
2020-08-24 15:52:53,46.9,188.6,87.7
